ID,commande_ID,numero_poste,code_produit,designation_produit,quantite_commandee,quantite_livree,prix_unitaire,unite,poids_total
dddddddd-0022-0000-0000-000000000000,cccccccc-0010-0000-0000-000000000000,1,EMB-003,Palette EUR 1200x800,71.000,71.000,22.38,PC,35.500
dddddddd-0023-0000-0000-000000000000,cccccccc-0010-0000-0000-000000000000,2,BUR-001,Papier A4 80g ramette,60.000,60.000,4.95,PC,30.000
dddddddd-0024-0000-0000-000000000000,cccccccc-0010-0000-0000-000000000000,3,ELE-002,Cable electrique 3G2.5,149.000,149.000,2.70,M,14.900
dddddddd-0025-0000-0000-000000000000,cccccccc-0011-0000-0000-000000000000,1,EMB-002,Film etirable 500mm,146.000,26.000,22.52,RL,73.000
dddddddd-0026-0000-0000-000000000000,cccccccc-0011-0000-0000-000000000000,2,PIE-003,Vis M8x40 inox,40.000,16.000,0.74,PC,20.000
dddddddd-0027-0000-0000-000000000000,cccccccc-0011-0000-0000-000000000000,3,MAT-003,Cuivre electrolytique,160.000,15.000,64.65,KG,160.000
dddddddd-0028-0000-0000-000000000000,cccccccc-0012-0000-0000-000000000000,1,ELE-002,Cable electrique 3G2.5,80.000,2.000,2.57,M,8.000
dddddddd-0029-0000-0000-000000000000,cccccccc-0012-0000-0000-000000000000,2,ELE-003,Disjoncteur 16A,187.000,84.000,15.91,PC,93.500
dddddddd-0030-0000-0000-000000000000,cccccccc-0013-0000-0000-000000000000,1,TEX-001,Tissu polyester 150cm,35.000,0.000,8.18,M,3.500
dddddddd-0031-0000-0000-000000000000,cccccccc-0013-0000-0000-000000000000,2,PIE-002,Joint torique NBR 50mm,177.000,0.000,3.50,PC,88.500
dddddddd-0032-0000-0000-000000000000,cccccccc-0013-0000-0000-000000000000,3,MAT-001,Acier inoxydable 304,53.000,0.000,38.83,KG,53.000
dddddddd-0033-0000-0000-000000000000,cccccccc-0013-0000-0000-000000000000,4,LOG-001,Transport national standard,176.000,0.000,277.31,SRV,88.000
dddddddd-0034-0000-0000-000000000000,cccccccc-0014-0000-0000-000000000000,1,EMB-003,Palette EUR 1200x800,73.000,0.000,20.26,PC,36.500
dddddddd-0035-0000-0000-000000000000,cccccccc-0014-0000-0000-000000000000,2,ELE-003,Disjoncteur 16A,8.000,0.000,18.09,PC,4.000
dddddddd-0036-0000-0000-000000000000,cccccccc-0014-0000-0000-000000000000,3,LOG-001,Transport national standard,185.000,0.000,249.46,SRV,92.500
dddddddd-0037-0000-0000-000000000000,cccccccc-0014-0000-0000-000000000000,4,MAT-001,Acier inoxydable 304,75.000,0.000,38.25,KG,75.000
dddddddd-0038-0000-0000-000000000000,cccccccc-0015-0000-0000-000000000000,1,LOG-001,Transport national standard,45.000,16.000,235.65,SRV,22.500
dddddddd-0039-0000-0000-000000000000,cccccccc-0015-0000-0000-000000000000,2,ELE-002,Cable electrique 3G2.5,35.000,17.000,3.24,M,3.500
dddddddd-0040-0000-0000-000000000000,cccccccc-0015-0000-0000-000000000000,3,CHI-001,Solvant nettoyant industriel,59.000,25.000,30.43,L,29.500
dddddddd-0041-0000-0000-000000000000,cccccccc-0015-0000-0000-000000000000,4,EMB-003,Palette EUR 1200x800,167.000,23.000,22.01,PC,83.500
dddddddd-0042-0000-0000-000000000000,cccccccc-0016-0000-0000-000000000000,1,ELE-002,Cable electrique 3G2.5,122.000,17.000,2.40,M,12.200
dddddddd-0043-0000-0000-000000000000,cccccccc-0016-0000-0000-000000000000,2,TEX-001,Tissu polyester 150cm,65.000,27.000,9.37,M,6.500
dddddddd-0044-0000-0000-000000000000,cccccccc-0016-0000-0000-000000000000,3,EMB-003,Palette EUR 1200x800,38.000,2.000,20.05,PC,19.000
dddddddd-0045-0000-0000-000000000000,cccccccc-0016-0000-0000-000000000000,4,CHI-002,Huile hydraulique ISO 46,125.000,51.000,8.06,L,62.500
dddddddd-0046-0000-0000-000000000000,cccccccc-0017-0000-0000-000000000000,1,PIE-003,Vis M8x40 inox,120.000,51.000,0.77,PC,60.000
dddddddd-0047-0000-0000-000000000000,cccccccc-0017-0000-0000-000000000000,2,CHI-001,Solvant nettoyant industriel,114.000,7.000,26.08,L,57.000
dddddddd-0048-0000-0000-000000000000,cccccccc-0018-0000-0000-000000000000,1,LOG-002,Transport international express,27.000,4.000,828.20,SRV,13.500
dddddddd-0049-0000-0000-000000000000,cccccccc-0019-0000-0000-000000000000,1,ELE-002,Cable electrique 3G2.5,162.000,73.000,3.27,M,16.200
dddddddd-0050-0000-0000-000000000000,cccccccc-0019-0000-0000-000000000000,2,PIE-002,Joint torique NBR 50mm,136.000,46.000,3.49,PC,68.000
dddddddd-0051-0000-0000-000000000000,cccccccc-0019-0000-0000-000000000000,3,MAT-003,Cuivre electrolytique,68.000,11.000,68.25,KG,68.000
dddddddd-0052-0000-0000-000000000000,cccccccc-0019-0000-0000-000000000000,4,LOG-002,Transport international express,59.000,16.000,953.99,SRV,29.500
dddddddd-0053-0000-0000-000000000000,cccccccc-0020-0000-0000-000000000000,1,ELE-001,Capteur temperature PT100,26.000,0.000,35.74,PC,13.000
dddddddd-0054-0000-0000-000000000000,cccccccc-0020-0000-0000-000000000000,2,PIE-001,Roulement a billes 6204,101.000,0.000,11.12,PC,50.500
dddddddd-0055-0000-0000-000000000000,cccccccc-0021-0000-0000-000000000000,1,EMB-002,Film etirable 500mm,89.000,40.000,17.79,RL,44.500
dddddddd-0056-0000-0000-000000000000,cccccccc-0022-0000-0000-000000000000,1,LOG-001,Transport national standard,70.000,70.000,264.30,SRV,35.000
dddddddd-0057-0000-0000-000000000000,cccccccc-0023-0000-0000-000000000000,1,EMB-001,Carton triple cannelure 60x40,66.000,14.000,4.67,PC,33.000
dddddddd-0058-0000-0000-000000000000,cccccccc-0023-0000-0000-000000000000,2,LOG-002,Transport international express,179.000,88.000,942.48,SRV,89.500
dddddddd-0059-0000-0000-000000000000,cccccccc-0024-0000-0000-000000000000,1,MAT-003,Cuivre electrolytique,8.000,0.000,63.33,KG,8.000
dddddddd-0060-0000-0000-000000000000,cccccccc-0024-0000-0000-000000000000,2,TEX-001,Tissu polyester 150cm,125.000,0.000,9.55,M,12.500
dddddddd-0061-0000-0000-000000000000,cccccccc-0025-0000-0000-000000000000,1,CHI-002,Huile hydraulique ISO 46,155.000,57.000,7.16,L,77.500
dddddddd-0062-0000-0000-000000000000,cccccccc-0026-0000-0000-000000000000,1,PIE-003,Vis M8x40 inox,56.000,25.000,0.97,PC,28.000
dddddddd-0063-0000-0000-000000000000,cccccccc-0026-0000-0000-000000000000,2,CHI-001,Solvant nettoyant industriel,163.000,3.000,33.46,L,81.500
dddddddd-0064-0000-0000-000000000000,cccccccc-0027-0000-0000-000000000000,1,ELE-002,Cable electrique 3G2.5,35.000,15.000,2.89,M,3.500
dddddddd-0065-0000-0000-000000000000,cccccccc-0027-0000-0000-000000000000,2,CHI-002,Huile hydraulique ISO 46,5.000,1.000,5.85,L,2.500
dddddddd-0066-0000-0000-000000000000,cccccccc-0027-0000-0000-000000000000,3,MAT-001,Acier inoxydable 304,154.000,43.000,38.85,KG,154.000
dddddddd-0067-0000-0000-000000000000,cccccccc-0027-0000-0000-000000000000,4,LOG-001,Transport national standard,174.000,76.000,215.89,SRV,87.000
dddddddd-0068-0000-0000-000000000000,cccccccc-0028-0000-0000-000000000000,1,EMB-002,Film etirable 500mm,89.000,21.000,15.83,RL,44.500
dddddddd-0069-0000-0000-000000000000,cccccccc-0028-0000-0000-000000000000,2,CHI-001,Solvant nettoyant industriel,51.000,14.000,26.51,L,25.500
dddddddd-0070-0000-0000-000000000000,cccccccc-0029-0000-0000-000000000000,1,LOG-002,Transport international express,37.000,14.000,873.23,SRV,18.500
dddddddd-0071-0000-0000-000000000000,cccccccc-0030-0000-0000-000000000000,1,ELE-001,Capteur temperature PT100,172.000,40.000,38.72,PC,86.000
dddddddd-0072-0000-0000-000000000000,cccccccc-0030-0000-0000-000000000000,2,ELE-003,Disjoncteur 16A,104.000,10.000,17.04,PC,52.000
dddddddd-0073-0000-0000-000000000000,cccccccc-0030-0000-0000-000000000000,3,PIE-002,Joint torique NBR 50mm,58.000,6.000,3.33,PC,29.000
dddddddd-0074-0000-0000-000000000000,cccccccc-0031-0000-0000-000000000000,1,PIE-001,Roulement a billes 6204,47.000,22.000,10.17,PC,23.500
dddddddd-0075-0000-0000-000000000000,cccccccc-0031-0000-0000-000000000000,2,MAT-002,Aluminium T6061,27.000,7.000,31.71,KG,27.000
dddddddd-0076-0000-0000-000000000000,cccccccc-0032-0000-0000-000000000000,1,EMB-002,Film etirable 500mm,96.000,22.000,17.54,RL,48.000
dddddddd-0077-0000-0000-000000000000,cccccccc-0033-0000-0000-000000000000,1,CHI-001,Solvant nettoyant industriel,175.000,37.000,27.79,L,87.500
dddddddd-0078-0000-0000-000000000000,cccccccc-0033-0000-0000-000000000000,2,LOG-001,Transport national standard,11.000,1.000,287.44,SRV,5.500
dddddddd-0079-0000-0000-000000000000,cccccccc-0033-0000-0000-000000000000,3,ELE-001,Capteur temperature PT100,11.000,1.000,28.36,PC,5.500
dddddddd-0080-0000-0000-000000000000,cccccccc-0034-0000-0000-000000000000,1,ELE-001,Capteur temperature PT100,9.000,9.000,31.28,PC,4.500
dddddddd-0081-0000-0000-000000000000,cccccccc-0034-0000-0000-000000000000,2,EMB-002,Film etirable 500mm,154.000,154.000,18.22,RL,77.000
dddddddd-0082-0000-0000-000000000000,cccccccc-0035-0000-0000-000000000000,1,MAT-002,Aluminium T6061,125.000,9.000,26.32,KG,125.000
dddddddd-0083-0000-0000-000000000000,cccccccc-0036-0000-0000-000000000000,1,EMB-001,Carton triple cannelure 60x40,90.000,0.000,3.79,PC,45.000
dddddddd-0084-0000-0000-000000000000,cccccccc-0036-0000-0000-000000000000,2,PIE-001,Roulement a billes 6204,14.000,0.000,10.12,PC,7.000
dddddddd-0085-0000-0000-000000000000,cccccccc-0036-0000-0000-000000000000,3,MAT-002,Aluminium T6061,17.000,0.000,39.02,KG,17.000
dddddddd-0086-0000-0000-000000000000,cccccccc-0037-0000-0000-000000000000,1,EMB-001,Carton triple cannelure 60x40,127.000,127.000,4.19,PC,63.500
dddddddd-0087-0000-0000-000000000000,cccccccc-0038-0000-0000-000000000000,1,EMB-003,Palette EUR 1200x800,30.000,30.000,21.30,PC,15.000
dddddddd-0088-0000-0000-000000000000,cccccccc-0038-0000-0000-000000000000,2,MAT-003,Cuivre electrolytique,63.000,63.000,64.44,KG,63.000
dddddddd-0089-0000-0000-000000000000,cccccccc-0038-0000-0000-000000000000,3,CHI-001,Solvant nettoyant industriel,130.000,130.000,26.78,L,65.000
dddddddd-0090-0000-0000-000000000000,cccccccc-0038-0000-0000-000000000000,4,LOG-001,Transport national standard,159.000,159.000,248.65,SRV,79.500
dddddddd-0091-0000-0000-000000000000,cccccccc-0039-0000-0000-000000000000,1,BUR-001,Papier A4 80g ramette,58.000,15.000,3.69,PC,29.000
dddddddd-0092-0000-0000-000000000000,cccccccc-0039-0000-0000-000000000000,2,ELE-001,Capteur temperature PT100,40.000,5.000,40.04,PC,20.000
dddddddd-0093-0000-0000-000000000000,cccccccc-0039-0000-0000-000000000000,3,MAT-001,Acier inoxydable 304,94.000,12.000,50.81,KG,94.000
dddddddd-0094-0000-0000-000000000000,cccccccc-0040-0000-0000-000000000000,1,EMB-002,Film etirable 500mm,68.000,0.000,20.48,RL,34.000
dddddddd-0095-0000-0000-000000000000,cccccccc-0040-0000-0000-000000000000,2,LOG-001,Transport national standard,132.000,0.000,293.45,SRV,66.000
dddddddd-0096-0000-0000-000000000000,cccccccc-0040-0000-0000-000000000000,3,TEX-001,Tissu polyester 150cm,184.000,0.000,7.61,M,18.400
dddddddd-0097-0000-0000-000000000000,cccccccc-0041-0000-0000-000000000000,1,LOG-001,Transport national standard,65.000,8.000,200.24,SRV,32.500
dddddddd-0098-0000-0000-000000000000,cccccccc-0041-0000-0000-000000000000,2,PIE-001,Roulement a billes 6204,112.000,14.000,10.40,PC,56.000
dddddddd-0099-0000-0000-000000000000,cccccccc-0042-0000-0000-000000000000,1,EMB-003,Palette EUR 1200x800,138.000,3.000,26.38,PC,69.000
dddddddd-0100-0000-0000-000000000000,cccccccc-0042-0000-0000-000000000000,2,CHI-001,Solvant nettoyant industriel,161.000,20.000,30.13,L,80.500
dddddddd-0101-0000-0000-000000000000,cccccccc-0042-0000-0000-000000000000,3,ELE-001,Capteur temperature PT100,49.000,6.000,35.85,PC,24.500
dddddddd-0102-0000-0000-000000000000,cccccccc-0043-0000-0000-000000000000,1,EMB-001,Carton triple cannelure 60x40,144.000,11.000,4.81,PC,72.000
dddddddd-0103-0000-0000-000000000000,cccccccc-0043-0000-0000-000000000000,2,ELE-003,Disjoncteur 16A,165.000,47.000,17.60,PC,82.500
dddddddd-0104-0000-0000-000000000000,cccccccc-0043-0000-0000-000000000000,3,PIE-002,Joint torique NBR 50mm,14.000,0.000,3.54,PC,7.000
dddddddd-0105-0000-0000-000000000000,cccccccc-0043-0000-0000-000000000000,4,CHI-002,Huile hydraulique ISO 46,100.000,28.000,5.56,L,50.000
dddddddd-0106-0000-0000-000000000000,cccccccc-0044-0000-0000-000000000000,1,EMB-003,Palette EUR 1200x800,120.000,0.000,24.88,PC,60.000
dddddddd-0107-0000-0000-000000000000,cccccccc-0045-0000-0000-000000000000,1,PIE-003,Vis M8x40 inox,92.000,2.000,0.73,PC,46.000
dddddddd-0108-0000-0000-000000000000,cccccccc-0045-0000-0000-000000000000,2,CHI-001,Solvant nettoyant industriel,26.000,4.000,24.76,L,13.000
dddddddd-0109-0000-0000-000000000000,cccccccc-0045-0000-0000-000000000000,3,BUR-001,Papier A4 80g ramette,57.000,27.000,4.36,PC,28.500
dddddddd-0110-0000-0000-000000000000,cccccccc-0046-0000-0000-000000000000,1,TEX-001,Tissu polyester 150cm,106.000,106.000,9.59,M,10.600
dddddddd-0111-0000-0000-000000000000,cccccccc-0047-0000-0000-000000000000,1,EMB-003,Palette EUR 1200x800,123.000,7.000,24.45,PC,61.500
dddddddd-0112-0000-0000-000000000000,cccccccc-0047-0000-0000-000000000000,2,EMB-001,Carton triple cannelure 60x40,34.000,1.000,3.82,PC,17.000
dddddddd-0113-0000-0000-000000000000,cccccccc-0047-0000-0000-000000000000,3,PIE-002,Joint torique NBR 50mm,192.000,59.000,3.35,PC,96.000
dddddddd-0114-0000-0000-000000000000,cccccccc-0048-0000-0000-000000000000,1,EMB-001,Carton triple cannelure 60x40,110.000,1.000,4.02,PC,55.000
dddddddd-0115-0000-0000-000000000000,cccccccc-0049-0000-0000-000000000000,1,ELE-001,Capteur temperature PT100,38.000,0.000,35.63,PC,19.000
dddddddd-0116-0000-0000-000000000000,cccccccc-0049-0000-0000-000000000000,2,MAT-003,Cuivre electrolytique,26.000,0.000,70.93,KG,26.000
dddddddd-0117-0000-0000-000000000000,cccccccc-0050-0000-0000-000000000000,1,TEX-001,Tissu polyester 150cm,125.000,26.000,8.48,M,12.500
dddddddd-0118-0000-0000-000000000000,cccccccc-0050-0000-0000-000000000000,2,EMB-001,Carton triple cannelure 60x40,199.000,65.000,4.42,PC,99.500
dddddddd-0119-0000-0000-000000000000,cccccccc-0051-0000-0000-000000000000,1,LOG-002,Transport international express,17.000,17.000,769.57,SRV,8.500
dddddddd-0120-0000-0000-000000000000,cccccccc-0051-0000-0000-000000000000,2,EMB-001,Carton triple cannelure 60x40,159.000,159.000,5.21,PC,79.500
dddddddd-0121-0000-0000-000000000000,cccccccc-0052-0000-0000-000000000000,1,BUR-001,Papier A4 80g ramette,42.000,42.000,3.64,PC,21.000
dddddddd-0122-0000-0000-000000000000,cccccccc-0053-0000-0000-000000000000,1,ELE-002,Cable electrique 3G2.5,58.000,14.000,2.89,M,5.800
dddddddd-0123-0000-0000-000000000000,cccccccc-0053-0000-0000-000000000000,2,MAT-002,Aluminium T6061,126.000,15.000,33.71,KG,126.000
dddddddd-0124-0000-0000-000000000000,cccccccc-0054-0000-0000-000000000000,1,CHI-001,Solvant nettoyant industriel,38.000,38.000,31.89,L,19.000
dddddddd-0125-0000-0000-000000000000,cccccccc-0054-0000-0000-000000000000,2,MAT-002,Aluminium T6061,54.000,54.000,28.04,KG,54.000
dddddddd-0126-0000-0000-000000000000,cccccccc-0054-0000-0000-000000000000,3,ELE-002,Cable electrique 3G2.5,127.000,127.000,3.36,M,12.700
dddddddd-0127-0000-0000-000000000000,cccccccc-0055-0000-0000-000000000000,1,PIE-001,Roulement a billes 6204,177.000,37.000,14.48,PC,88.500
dddddddd-0128-0000-0000-000000000000,cccccccc-0055-0000-0000-000000000000,2,BUR-001,Papier A4 80g ramette,200.000,53.000,3.45,PC,100.000
dddddddd-0129-0000-0000-000000000000,cccccccc-0055-0000-0000-000000000000,3,PIE-003,Vis M8x40 inox,100.000,7.000,0.95,PC,50.000
dddddddd-0130-0000-0000-000000000000,cccccccc-0055-0000-0000-000000000000,4,CHI-002,Huile hydraulique ISO 46,33.000,15.000,5.58,L,16.500
dddddddd-0131-0000-0000-000000000000,cccccccc-0056-0000-0000-000000000000,1,ELE-001,Capteur temperature PT100,120.000,120.000,28.89,PC,60.000
dddddddd-0132-0000-0000-000000000000,cccccccc-0056-0000-0000-000000000000,2,LOG-002,Transport international express,105.000,105.000,757.41,SRV,52.500
dddddddd-0133-0000-0000-000000000000,cccccccc-0056-0000-0000-000000000000,3,EMB-001,Carton triple cannelure 60x40,48.000,48.000,5.40,PC,24.000
dddddddd-0134-0000-0000-000000000000,cccccccc-0056-0000-0000-000000000000,4,EMB-003,Palette EUR 1200x800,182.000,182.000,24.91,PC,91.000
dddddddd-0135-0000-0000-000000000000,cccccccc-0057-0000-0000-000000000000,1,PIE-003,Vis M8x40 inox,33.000,0.000,1.02,PC,16.500
dddddddd-0136-0000-0000-000000000000,cccccccc-0057-0000-0000-000000000000,2,PIE-002,Joint torique NBR 50mm,93.000,0.000,3.05,PC,46.500
dddddddd-0137-0000-0000-000000000000,cccccccc-0057-0000-0000-000000000000,3,EMB-002,Film etirable 500mm,35.000,0.000,18.67,RL,17.500
dddddddd-0138-0000-0000-000000000000,cccccccc-0058-0000-0000-000000000000,1,PIE-002,Joint torique NBR 50mm,171.000,73.000,2.97,PC,85.500
dddddddd-0139-0000-0000-000000000000,cccccccc-0059-0000-0000-000000000000,1,EMB-001,Carton triple cannelure 60x40,175.000,175.000,4.17,PC,87.500
dddddddd-0140-0000-0000-000000000000,cccccccc-0059-0000-0000-000000000000,2,MAT-003,Cuivre electrolytique,195.000,195.000,72.48,KG,195.000
dddddddd-0141-0000-0000-000000000000,cccccccc-0060-0000-0000-000000000000,1,BUR-001,Papier A4 80g ramette,47.000,4.000,4.95,PC,23.500
dddddddd-0142-0000-0000-000000000000,cccccccc-0060-0000-0000-000000000000,2,EMB-002,Film etirable 500mm,23.000,6.000,15.58,RL,11.500
dddddddd-0143-0000-0000-000000000000,cccccccc-0060-0000-0000-000000000000,3,MAT-001,Acier inoxydable 304,67.000,24.000,46.42,KG,67.000
dddddddd-0144-0000-0000-000000000000,cccccccc-0061-0000-0000-000000000000,1,TEX-001,Tissu polyester 150cm,91.000,36.000,9.84,M,9.100
dddddddd-0145-0000-0000-000000000000,cccccccc-0062-0000-0000-000000000000,1,LOG-002,Transport international express,169.000,52.000,945.51,SRV,84.500
dddddddd-0146-0000-0000-000000000000,cccccccc-0062-0000-0000-000000000000,2,MAT-003,Cuivre electrolytique,162.000,8.000,78.37,KG,162.000
dddddddd-0147-0000-0000-000000000000,cccccccc-0063-0000-0000-000000000000,1,CHI-002,Huile hydraulique ISO 46,29.000,9.000,6.18,L,14.500
dddddddd-0148-0000-0000-000000000000,cccccccc-0063-0000-0000-000000000000,2,LOG-002,Transport international express,165.000,41.000,996.84,SRV,82.500
dddddddd-0149-0000-0000-000000000000,cccccccc-0063-0000-0000-000000000000,3,ELE-001,Capteur temperature PT100,52.000,9.000,37.91,PC,26.000
dddddddd-0150-0000-0000-000000000000,cccccccc-0064-0000-0000-000000000000,1,MAT-001,Acier inoxydable 304,20.000,0.000,49.61,KG,20.000
dddddddd-0151-0000-0000-000000000000,cccccccc-0064-0000-0000-000000000000,2,CHI-002,Huile hydraulique ISO 46,75.000,0.000,5.82,L,37.500
dddddddd-0152-0000-0000-000000000000,cccccccc-0065-0000-0000-000000000000,1,BUR-001,Papier A4 80g ramette,101.000,2.000,3.91,PC,50.500
dddddddd-0153-0000-0000-000000000000,cccccccc-0065-0000-0000-000000000000,2,EMB-003,Palette EUR 1200x800,106.000,45.000,25.45,PC,53.000
dddddddd-0154-0000-0000-000000000000,cccccccc-0066-0000-0000-000000000000,1,MAT-003,Cuivre electrolytique,175.000,11.000,72.62,KG,175.000
dddddddd-0155-0000-0000-000000000000,cccccccc-0066-0000-0000-000000000000,2,PIE-003,Vis M8x40 inox,119.000,17.000,0.77,PC,59.500
dddddddd-0156-0000-0000-000000000000,cccccccc-0066-0000-0000-000000000000,3,CHI-001,Solvant nettoyant industriel,91.000,8.000,26.41,L,45.500
dddddddd-0157-0000-0000-000000000000,cccccccc-0067-0000-0000-000000000000,1,MAT-002,Aluminium T6061,139.000,57.000,28.57,KG,139.000
dddddddd-0158-0000-0000-000000000000,cccccccc-0067-0000-0000-000000000000,2,ELE-001,Capteur temperature PT100,117.000,11.000,39.83,PC,58.500
dddddddd-0159-0000-0000-000000000000,cccccccc-0067-0000-0000-000000000000,3,LOG-001,Transport national standard,109.000,35.000,267.65,SRV,54.500
dddddddd-0160-0000-0000-000000000000,cccccccc-0068-0000-0000-000000000000,1,LOG-002,Transport international express,71.000,31.000,825.75,SRV,35.500
dddddddd-0161-0000-0000-000000000000,cccccccc-0068-0000-0000-000000000000,2,CHI-001,Solvant nettoyant industriel,136.000,40.000,32.40,L,68.000
dddddddd-0162-0000-0000-000000000000,cccccccc-0068-0000-0000-000000000000,3,MAT-002,Aluminium T6061,128.000,44.000,33.69,KG,128.000
dddddddd-0163-0000-0000-000000000000,cccccccc-0068-0000-0000-000000000000,4,MAT-001,Acier inoxydable 304,74.000,25.000,48.74,KG,74.000
dddddddd-0164-0000-0000-000000000000,cccccccc-0069-0000-0000-000000000000,1,LOG-001,Transport national standard,39.000,15.000,278.41,SRV,19.500
dddddddd-0165-0000-0000-000000000000,cccccccc-0069-0000-0000-000000000000,2,EMB-001,Carton triple cannelure 60x40,94.000,24.000,3.74,PC,47.000
dddddddd-0166-0000-0000-000000000000,cccccccc-0070-0000-0000-000000000000,1,TEX-001,Tissu polyester 150cm,189.000,189.000,7.55,M,18.900
dddddddd-0167-0000-0000-000000000000,cccccccc-0071-0000-0000-000000000000,1,PIE-003,Vis M8x40 inox,185.000,41.000,0.86,PC,92.500
dddddddd-0168-0000-0000-000000000000,cccccccc-0071-0000-0000-000000000000,2,MAT-002,Aluminium T6061,170.000,1.000,26.41,KG,170.000
dddddddd-0169-0000-0000-000000000000,cccccccc-0071-0000-0000-000000000000,3,LOG-001,Transport national standard,91.000,41.000,227.51,SRV,45.500
dddddddd-0170-0000-0000-000000000000,cccccccc-0071-0000-0000-000000000000,4,BUR-001,Papier A4 80g ramette,21.000,1.000,3.79,PC,10.500
dddddddd-0171-0000-0000-000000000000,cccccccc-0072-0000-0000-000000000000,1,ELE-001,Capteur temperature PT100,91.000,91.000,31.20,PC,45.500
dddddddd-0172-0000-0000-000000000000,cccccccc-0072-0000-0000-000000000000,2,CHI-002,Huile hydraulique ISO 46,10.000,10.000,7.10,L,5.000
dddddddd-0173-0000-0000-000000000000,cccccccc-0072-0000-0000-000000000000,3,MAT-003,Cuivre electrolytique,26.000,26.000,75.48,KG,26.000
dddddddd-0174-0000-0000-000000000000,cccccccc-0073-0000-0000-000000000000,1,EMB-001,Carton triple cannelure 60x40,88.000,11.000,5.37,PC,44.000
dddddddd-0175-0000-0000-000000000000,cccccccc-0073-0000-0000-000000000000,2,EMB-002,Film etirable 500mm,5.000,2.000,21.06,RL,2.500
dddddddd-0176-0000-0000-000000000000,cccccccc-0073-0000-0000-000000000000,3,ELE-002,Cable electrique 3G2.5,175.000,45.000,2.94,M,17.500
dddddddd-0177-0000-0000-000000000000,cccccccc-0074-0000-0000-000000000000,1,CHI-001,Solvant nettoyant industriel,93.000,42.000,23.95,L,46.500
